ID,Name,Author ID,Author Name,Thumbnail
avtr_8c843dd2-1772-41c9-ab53-a5b1d91053bd,PITANサンプルver1.11,usr_bdbdefaf-d8cc-426d-a6c9-32ff6d1e89fb,SUZUKURA,https://api.vrchat.cloud/api/1/image/file_1effdc8c-469b-4515-a8df-31831343f4d9/10/256
avtr_557a56fc-5c6b-40d4-8c99-d1609125eb12,AOI vket2024 Sample,usr_3598e77f-d356-4723-a304-fbdd619176e9,Jamzo2020,https://api.vrchat.cloud/api/1/image/file_712ffb4f-8587-4ab3-8911-76553eaf671f/3/256
avtr_55aa20cc-d2e5-403c-8ad4-03ae1e8a504e,閃花(Senka)_Sample,usr_b23c7a60-a1fb-4a7e-ac6e-37e5d7f817eb,るありんご,https://api.vrchat.cloud/api/1/image/file_c1dbe1d7-0742-4cf6-ac73-fcd1b3b0b064/7/256
avtr_c3e1f746-b565-4e4d-ab8d-9fc51d7959bb,RunyaSmaple_RibbonKnit,usr_b5a0509c-f568-45a7-9503-d8a6dcc90632,KousakaMochi_,https://api.vrchat.cloud/api/1/image/file_25f1094f-0b62-4d5c-b377-9eeca4b06679/2/256
avtr_ccbb5017-58a1-4f8a-b4a5-11d4d96e30db,Amelia,usr_4c860fe6-9b17-4987-81ba-519f0d203e9b,ᴋᴏʀɴ,https://api.vrchat.cloud/api/1/image/file_19150616-2fa3-4bd8-9973-e6c0db14312b/2/256
avtr_b950ae46-6ba0-4830-b55a-77957f468a1d,akyo_to-st fox,usr_247b2321-968d-42b3-90f7-60f01bc1255d,ささのき,https://api.vrchat.cloud/api/1/image/file_8f138f75-5bd9-4c7a-87fa-b81f2fd0ea64/1/256
avtr_e9073961-2a03-44c3-b18f-dce2ed5b2338,Nagi_Sample,usr_65c83a31-f6ed-4577-8ae9-7c5176066716,rio∗,https://api.vrchat.cloud/api/1/image/file_27a57d8d-c4ba-4e84-8bac-35cb5bf41fec/3/256
avtr_e3580254-c1ea-4f72-b8c7-ad8081f9f3aa,Cizuku v4 Sample,usr_3598e77f-d356-4723-a304-fbdd619176e9,Jamzo2020,https://api.vrchat.cloud/api/1/image/file_467437d2-01e0-4db4-a108-116df5646df5/7/256
avtr_767db6fb-3bb1-476c-9e85-5e3e05d2e0f3,Papillon + パピヨン + 試着 + KukkiPapi,usr_e1d5259b-e61f-4716-8036-51c2256d98d5,riirotomato,https://api.vrchat.cloud/api/1/image/file_cab80438-b59e-4de4-84f2-b31698daa486/2/256
avtr_64fed476-afee-4f34-ae39-3f95eb3cab18,InabaKaya_Light_Trial,usr_35a4886b-1033-4b95-996c-8304de854019,Tsukurunomori,https://api.vrchat.cloud/api/1/image/file_8246b346-fa92-4c56-a0db-0ef7566bd828/2/256
